STOCKID,STOCKNAME,STOCKSYMBOL,STOCKEXCHANGE,PURCHASEPRICE,PURCHASEDATE,QUANTITY,INVESTMENTACCOUNTID
1696,SBI Life Insurance Company Limited, SBILIFE,BSE,819,YYYY-12-DD 01:12:SS,72,POOM75647681255629
1697,Infosys Limited, INFY,NSE,637,YYYY-16-DD 18:16:SS,57,CQLQ58421696932505
1698,Reliance Industries Limited, RELIANCE,BSE,408,YYYY-38-DD 15:38:SS,71,OEQD64567163704005
1699,Kotak Mahindra Bank Limited, KOTAKBANK,NSE,433,YYYY-28-DD 20:28:SS,91,UYOR62639856961419
1700,Titan Company Limited, TITAN,NSE,266,YYYY-22-DD 13:22:SS,60,YQKM78649553024894
1701,Asian Paints Limited, ASIANPAINT,NSE,612,YYYY-28-DD 01:28:SS,38,QXRZ26829273510630
1702,Grasim Industries Limited, GRASIM,NSE,456,YYYY-09-DD 22:09:SS,83,QQLL10058145754829
1703,Bharti Airtel Limited, BHARTIARTL,BSE,425,YYYY-24-DD 05:24:SS,54,GBFW45172047821760
1704,State Bank of India, SBIN,BSE,291,YYYY-57-DD 00:57:SS,80,HFNW88810506698380
1705,Asian Paints Limited, ASIANPAINT,BSE,548,YYYY-14-DD 07:14:SS,86,KPDS99190150764323
1706,Infosys Limited, INFY,BSE,112,YYYY-54-DD 00:54:SS,77,UJRQ13030267122913
1707,Adani Ports and Special Economic Zone Limited, ADANIPORTS,NSE,856,YYYY-47-DD 11:47:SS,69,PDZY09824088291044
1708,Wipro Limited, WIPRO,NSE,383,YYYY-36-DD 10:36:SS,66,DQIK40089785503378
1709,Aditya Birla Capital Limited, ABCAPITAL,NSE,895,YYYY-09-DD 14:09:SS,47,MTRC58396700999484
1710,HDFC Bank Limited, HDFCBANK,BSE,693,YYYY-44-DD 23:44:SS,40,CKEI79268649911512
1711,Housing Development Finance Corporation Limited, HDFC,BSE,541,YYYY-25-DD 01:25:SS,1,JEPN11942531080108
1712,State Bank of India, SBIN,BSE,414,YYYY-37-DD 06:37:SS,63,LDLL08481944238436
1713,HDFC Bank Limited, HDFCBANK,NSE,628,YYYY-47-DD 12:47:SS,73,OYJY69364577835702
1714,Adani Ports and Special Economic Zone Limited, ADANIPORTS,NSE,151,YYYY-13-DD 18:13:SS,59,VWMI89518425235510
1715,Wipro Limited, WIPRO,BSE,862,YYYY-52-DD 20:52:SS,16,YQJF79923339936563
1716,Bajaj Finserv Limited, BAJAJFINSV,BSE,332,YYYY-36-DD 12:36:SS,59,UQAA91498901598519
1717,Larsen & Toubro Infotech Limited, LTI,BSE,170,YYYY-57-DD 21:57:SS,20,XAPS35456388656985
1718,HCL Technologies Limited, HCLTECH,NSE,235,YYYY-27-DD 12:27:SS,86,DVLL51728742546171
1719,State Bank of India, SBIN,BSE,707,YYYY-55-DD 17:55:SS,52,XBVN60338740266140
1720,Shree Cement Limited, SHREECEM,BSE,792,YYYY-24-DD 03:24:SS,49,POOM75647681255629
1721,Cipla Limited, CIPLA,BSE,739,YYYY-50-DD 16:50:SS,16,AQZD43682287299422
1722,Titan Company Limited, TITAN,NSE,666,YYYY-43-DD 16:43:SS,28,TTEX73715434446529
1723,Britannia Industries Limited, BRITANNIA,NSE,374,YYYY-44-DD 04:44:SS,66,JNWR93505299265151
1724,Housing Development Finance Corporation Limited, HDFC,BSE,217,YYYY-15-DD 13:15:SS,59,OQKU77592688067606
1725,Shree Cement Limited, SHREECEM,BSE,548,YYYY-47-DD 15:47:SS,55,IZZF69243942231012
1726,Hindustan Petroleum Corporation Limited, HINDPETRO,NSE,778,YYYY-17-DD 18:17:SS,2,NKGY52576273141008
1727,Adani Green Energy Limited, ADANIGREEN,BSE,109,YYYY-17-DD 10:17:SS,8,OQCH19787001048949
1728,SBI Life Insurance Company Limited, SBILIFE,NSE,330,YYYY-16-DD 01:16:SS,94,KPRN92062274882831
1729,Larsen & Toubro Limited, LT,BSE,395,YYYY-29-DD 07:29:SS,73,BNGM02701870523666
1730,Dr. Reddy's Laboratories Limited, DRREDDY,BSE,531,YYYY-49-DD 12:49:SS,67,NTPB67286748127981
1731,Power Grid Corporation of India Limited, POWERGRID,BSE,498,YYYY-23-DD 15:23:SS,71,REHQ02715749303521
1732,State Bank of India, SBIN,BSE,633,YYYY-17-DD 01:17:SS,68,ZGJH51822492041544
1733,Hindustan Petroleum Corporation Limited, HINDPETRO,BSE,883,YYYY-27-DD 12:27:SS,54,BCHW49786475015804
1734,Nestle India Limited, NESTLEIND,NSE,294,YYYY-44-DD 15:44:SS,15,FQQD70565696705726
1735,Adani Ports and Special Economic Zone Limited, ADANIPORTS,BSE,927,YYYY-12-DD 04:12:SS,91,WENE11617854100691
1736,Adani Green Energy Limited, ADANIGREEN,BSE,996,YYYY-04-DD 12:04:SS,90,AATL56921559480456
1737,Kotak Mahindra Bank Limited, KOTAKBANK,BSE,753,YYYY-21-DD 21:21:SS,70,ZXFM55667283468310
1738,Titan Company Limited, TITAN,BSE,580,YYYY-41-DD 19:41:SS,67,DQIS96618196002093
1739,Adani Green Energy Limited, ADANIGREEN,NSE,962,YYYY-48-DD 10:48:SS,7,ZCLR03070518440631
1740,Coal India Limited, COALINDIA,BSE,304,YYYY-15-DD 06:15:SS,25,FJUP75222829506962
1741,Power Grid Corporation of India Limited, POWERGRID,BSE,341,YYYY-38-DD 16:38:SS,76,FCHX41130901155432
1742,Mahindra & Mahindra Limited, M&M,NSE,336,YYYY-06-DD 12:06:SS,75,IZZF69243942231012
1743,Aditya Birla Capital Limited, ABCAPITAL,NSE,592,YYYY-30-DD 21:30:SS,4,MBQW06538533261262
1744,Maruti Suzuki India Limited, MARUTI,BSE,146,YYYY-05-DD 05:05:SS,48,SXNS34177047547691
1745,Wipro Limited, WIPRO,NSE,203,YYYY-49-DD 01:49:SS,31,BNXL51563385245432
1746,Eicher Motors Limited, EICHERMOT,NSE,629,YYYY-11-DD 03:11:SS,76,MTPI34474563336655
1747,SBI Life Insurance Company Limited, SBILIFE,NSE,137,YYYY-11-DD 02:11:SS,59,RWYX76594661017543
1748,State Bank of India, SBIN,BSE,916,YYYY-14-DD 19:14:SS,17,WGZM39492221113474
1749,ICICI Bank Limited, ICICIBANK,NSE,725,YYYY-07-DD 14:07:SS,22,DBQD11928650148949
1750,Sun Pharmaceutical Industries Limited, SUNPHARMA,BSE,396,YYYY-06-DD 02:06:SS,99,SLGB26459540128420
1751,IndusInd Bank Limited, INDUSINDBK,NSE,747,YYYY-08-DD 18:08:SS,100,KAHE53036890989712
1752,Coal India Limited, COALINDIA,NSE,170,YYYY-06-DD 23:06:SS,63,GKLW12272214309504
1753,State Bank of India, SBIN,BSE,927,YYYY-36-DD 07:36:SS,54,LNXV55020183905883
1754,Bajaj Auto Limited, BAJAJ-AUTO,NSE,531,YYYY-47-DD 15:47:SS,28,XOOO11245888003474
1755,Axis Bank Limited, AXISBANK,BSE,914,YYYY-59-DD 21:59:SS,42,YVWN49050722892889
1756,Divi's Laboratories Limited, DIVISLAB,BSE,371,YYYY-32-DD 20:32:SS,17,LDRM60419347695621
1757,Wipro Limited, WIPRO,BSE,441,YYYY-17-DD 15:17:SS,100,WIXQ91541628366362
1758,Mahindra & Mahindra Limited, M&M,NSE,113,YYYY-03-DD 22:03:SS,19,BSDJ60793088956609
1759,Nestle India Limited, NESTLEIND,BSE,976,YYYY-56-DD 03:56:SS,27,PAGO58656203631664
1760,Bharti Airtel Limited, BHARTIARTL,BSE,507,YYYY-51-DD 12:51:SS,64,LNXV55020183905883
1761,Cipla Limited, CIPLA,BSE,399,YYYY-51-DD 13:51:SS,41,QOFZ44708275999110
1762,Tata Motors Limited, TATAMOTORS,NSE,285,YYYY-09-DD 16:09:SS,55,IRXK35318368008054
1763,Hindustan Unilever Limited, HINDUNILVR,BSE,889,YYYY-05-DD 18:05:SS,58,VRUY54294892649285
1764,Tech Mahindra Limited, TECHM,BSE,492,YYYY-30-DD 21:30:SS,88,DWKM30711980924086
1765,Britannia Industries Limited, BRITANNIA,NSE,757,YYYY-26-DD 12:26:SS,58,DRIP37211399872217
1766,Axis Bank Limited, AXISBANK,BSE,175,YYYY-22-DD 13:22:SS,42,CQKY06279545911527
1767,HCL Technologies Limited, HCLTECH,NSE,329,YYYY-13-DD 13:13:SS,76,VLYC58556558407268
1768,Adani Green Energy Limited, ADANIGREEN,NSE,263,YYYY-29-DD 02:29:SS,23,BBCH92077746222146
1769,Britannia Industries Limited, BRITANNIA,BSE,672,YYYY-01-DD 08:01:SS,24,UDWB40910372203410
1770,Bajaj Finserv Limited, BAJAJFINSV,BSE,909,YYYY-44-DD 19:44:SS,61,JFWV01903811224220
1771,Power Grid Corporation of India Limited, POWERGRID,BSE,200,YYYY-29-DD 23:29:SS,10,KPRN92062274882831
1772,Tata Motors Limited, TATAMOTORS,BSE,620,YYYY-52-DD 13:52:SS,10,TMWX94605494006373
1773,Power Grid Corporation of India Limited, POWERGRID,NSE,348,YYYY-43-DD 19:43:SS,3,CYOV98346921485240
1774,Infosys Limited, INFY,BSE,854,YYYY-18-DD 11:18:SS,82,LTVU11705033864224
1775,SBI Life Insurance Company Limited, SBILIFE,NSE,719,YYYY-46-DD 18:46:SS,8,SBLY28134245275738
1776,Mahindra & Mahindra Limited, M&M,NSE,174,YYYY-25-DD 21:25:SS,18,TCZY66980137342745
1777,Shree Cement Limited, SHREECEM,BSE,883,YYYY-09-DD 21:09:SS,91,QQXK95050823807740
1778,Wipro Limited, WIPRO,NSE,356,YYYY-17-DD 19:17:SS,65,PYFM55315932263359
1779,Hindustan Petroleum Corporation Limited, HINDPETRO,NSE,260,YYYY-49-DD 15:49:SS,43,RSDB80135025770098
1780,Hindustan Zinc Limited, HINDZINC,BSE,797,YYYY-49-DD 10:49:SS,40,UANT50554410431011
1781,Grasim Industries Limited, GRASIM,BSE,390,YYYY-26-DD 13:26:SS,96,OACT64490586658464
1782,Dr. Reddy's Laboratories Limited, DRREDDY,NSE,915,YYYY-22-DD 00:22:SS,23,TLUJ56570194854652
1783,ICICI Bank Limited, ICICIBANK,NSE,656,YYYY-57-DD 13:57:SS,56,UWXN25047347536990
1784,Titan Company Limited, TITAN,BSE,827,YYYY-41-DD 13:41:SS,40,MKPY16332117766519
1785,Adani Ports and Special Economic Zone Limited, ADANIPORTS,NSE,741,YYYY-59-DD 23:59:SS,64,XOOO11245888003474
1786,Eicher Motors Limited, EICHERMOT,BSE,416,YYYY-17-DD 20:17:SS,50,LNXV55020183905883
1787,Tata Steel Limited, TATASTEEL,BSE,245,YYYY-40-DD 07:40:SS,19,MRUC90297196180399
1788,Asian Paints Limited, ASIANPAINT,BSE,340,YYYY-44-DD 23:44:SS,13,PNMO61445195050022
1789,Hero MotoCorp Limited, HEROMOTOCO,NSE,856,YYYY-48-DD 04:48:SS,86,SXKL10326058990825
1790,Asian Paints Limited, ASIANPAINT,BSE,157,YYYY-10-DD 14:10:SS,61,KBQB91405622659946
1791,Kotak Mahindra Bank Limited, KOTAKBANK,BSE,338,YYYY-13-DD 03:13:SS,41,JOXP26492190992415
1792,Infosys Limited, INFY,NSE,365,YYYY-18-DD 18:18:SS,24,RSDB80135025770098
1793,Infosys Limited, INFY,BSE,917,YYYY-45-DD 15:45:SS,49,YEWS57683595573201
1794,SBI Life Insurance Company Limited, SBILIFE,NSE,884,YYYY-36-DD 05:36:SS,82,FRGJ40231056988083
1795,ITC Limited, ITC,BSE,460,YYYY-57-DD 08:57:SS,3,QPOL42021468802253
1796,Shree Cement Limited, SHREECEM,BSE,399,YYYY-52-DD 17:52:SS,99,JYQR49625109440975
1797,State Bank of India, SBIN,NSE,332,YYYY-44-DD 09:44:SS,1,OPHI66561165530996
1798,Mahindra & Mahindra Limited, M&M,BSE,549,YYYY-15-DD 12:15:SS,55,DPGT11865555232744
1799,Kotak Mahindra Bank Limited, KOTAKBANK,NSE,643,YYYY-19-DD 17:19:SS,36,MBQW06538533261262
1800,HDFC Bank Limited, HDFCBANK,NSE,320,YYYY-31-DD 04:31:SS,78,FOYB91216102352760
1801,Bajaj Auto Limited, BAJAJ-AUTO,NSE,498,YYYY-28-DD 02:28:SS,53,QJZJ66388590979483
1802,HDFC Bank Limited, HDFCBANK,NSE,678,YYYY-52-DD 21:52:SS,66,YNQE71227932134434
1803,Dr. Reddy's Laboratories Limited, DRREDDY,BSE,389,YYYY-27-DD 03:27:SS,40,HXGE40526232743929
1804,Bajaj Finserv Limited, BAJAJFINSV,NSE,607,YYYY-55-DD 18:55:SS,32,BBGG78013420074621
1805,Bajaj Finance Limited, BAJFINANCE,NSE,309,YYYY-58-DD 00:58:SS,71,OIZZ34046761039651
1806,UltraTech Cement Limited, ULTRACEMCO,BSE,455,YYYY-52-DD 00:52:SS,57,VBKE59851124912703
1807,Tata Consultancy Services Limited, TCS,NSE,363,YYYY-57-DD 06:57:SS,18,MTRC58396700999484
1808,Kotak Mahindra Bank Limited, KOTAKBANK,NSE,448,YYYY-54-DD 11:54:SS,23,TLCX23577115178523
1809,Hindustan Zinc Limited, HINDZINC,NSE,673,YYYY-46-DD 23:46:SS,83,PDVO34248389389918
1810,Adani Enterprises Limited, ADANIENT,NSE,256,YYYY-34-DD 23:34:SS,98,BCTJ70098846823392
1811,Wipro Limited, WIPRO,NSE,915,YYYY-27-DD 18:27:SS,97,QBTO33354230308237
1812,Adani Green Energy Limited, ADANIGREEN,NSE,385,YYYY-30-DD 18:30:SS,62,OERP68420764196473
1813,Infosys Limited, INFY,BSE,374,YYYY-01-DD 06:01:SS,55,OOMU81754670127958
1814,Coal India Limited, COALINDIA,BSE,901,YYYY-52-DD 20:52:SS,77,VFIR91400346347381
1815,Cipla Limited, CIPLA,BSE,887,YYYY-35-DD 19:35:SS,91,UULY27085461506168
1816,Dr. Reddy's Laboratories Limited, DRREDDY,NSE,338,YYYY-52-DD 19:52:SS,85,TVLK67355683720538
1817,Eicher Motors Limited, EICHERMOT,BSE,466,YYYY-44-DD 19:44:SS,69,QFJS48087979075264
1818,Infosys Limited, INFY,BSE,454,YYYY-14-DD 09:14:SS,36,OTDD89088189598767
1819,Titan Company Limited, TITAN,BSE,338,YYYY-02-DD 22:02:SS,34,GSZD06014078374106
1820,Eicher Motors Limited, EICHERMOT,BSE,434,YYYY-08-DD 22:08:SS,48,MJHP46196254214882
1821,Adani Enterprises Limited, ADANIENT,NSE,872,YYYY-56-DD 15:56:SS,68,GBUZ34865290168499
1822,Mahindra & Mahindra Limited, M&M,BSE,330,YYYY-26-DD 02:26:SS,10,XJCR14230261045697
1823,Power Grid Corporation of India Limited, POWERGRID,NSE,209,YYYY-42-DD 23:42:SS,94,XLWQ64568542680227
1824,Hindustan Zinc Limited, HINDZINC,NSE,473,YYYY-39-DD 05:39:SS,25,ICAD86200941477145
1825,Infosys Limited, INFY,NSE,983,YYYY-57-DD 09:57:SS,1,DDMF03377819497244
1826,Hindustan Zinc Limited, HINDZINC,BSE,372,YYYY-25-DD 22:25:SS,99,WFJD37815561955943
1827,Housing Development Finance Corporation Limited, HDFC,BSE,285,YYYY-33-DD 16:33:SS,53,OIXU36395038669112
1828,Divi's Laboratories Limited, DIVISLAB,NSE,491,YYYY-32-DD 08:32:SS,34,RWSI00023304687182
1829,Titan Company Limited, TITAN,NSE,339,YYYY-25-DD 02:25:SS,52,KHTJ65941286707239
1830,HCL Technologies Limited, HCLTECH,BSE,655,YYYY-29-DD 21:29:SS,95,CBBO34852127547768
1831,Infosys Limited, INFY,BSE,759,YYYY-58-DD 13:58:SS,16,OWPB30889090512711
1832,Aditya Birla Capital Limited, ABCAPITAL,BSE,823,YYYY-05-DD 07:05:SS,67,ZFST92770975547880
1833,HCL Technologies Limited, HCLTECH,BSE,861,YYYY-19-DD 07:19:SS,80,XMON45441099435655
1834,Bajaj Finserv Limited, BAJAJFINSV,NSE,678,YYYY-31-DD 15:31:SS,65,OBIT76526109804976
1835,Axis Bank Limited, AXISBANK,BSE,196,YYYY-14-DD 15:14:SS,39,RIKD32117612103254
1836,Reliance Industries Limited, RELIANCE,NSE,642,YYYY-10-DD 03:10:SS,39,DHNY40651295539670
1837,Adani Ports and Special Economic Zone Limited, ADANIPORTS,NSE,982,YYYY-03-DD 14:03:SS,90,HDOK23227063824078
1838,SBI Life Insurance Company Limited, SBILIFE,NSE,760,YYYY-14-DD 02:14:SS,3,TIAP43403868119894
1839,Infosys Limited, INFY,NSE,432,YYYY-54-DD 09:54:SS,56,UGIW80401070292305
1840,Sun Pharmaceutical Industries Limited, SUNPHARMA,NSE,294,YYYY-38-DD 09:38:SS,65,QQGA69240243560619
1841,Britannia Industries Limited, BRITANNIA,BSE,484,YYYY-08-DD 18:08:SS,26,CKEI79268649911512
1842,Shree Cement Limited, SHREECEM,BSE,174,YYYY-22-DD 21:22:SS,88,OIJD90113019417918
1843,Adani Ports and Special Economic Zone Limited, ADANIPORTS,NSE,191,YYYY-13-DD 19:13:SS,38,UDHH28614100482348
1844,Bajaj Finance Limited, BAJFINANCE,BSE,185,YYYY-30-DD 03:30:SS,75,VVPA50255195379634
1845,IndusInd Bank Limited, INDUSINDBK,NSE,165,YYYY-05-DD 00:05:SS,10,UQNF91345974092365
1846,ICICI Bank Limited, ICICIBANK,BSE,169,YYYY-25-DD 22:25:SS,25,NMCM47282915189694
1847,Tata Motors Limited, TATAMOTORS,NSE,120,YYYY-00-DD 05:00:SS,55,HFFJ87650584079971
1848,Bajaj Finserv Limited, BAJAJFINSV,NSE,530,YYYY-33-DD 21:33:SS,7,OQCH19787001048949
1849,HDFC Bank Limited, HDFCBANK,NSE,196,YYYY-45-DD 20:45:SS,25,MCTX55027176390468
1850,Larsen & Toubro Infotech Limited, LTI,NSE,100,YYYY-59-DD 16:59:SS,13,TFIR61739323295702
1851,Hindustan Petroleum Corporation Limited, HINDPETRO,BSE,244,YYYY-45-DD 07:45:SS,40,IIDT65997333507765
1852,Nestle India Limited, NESTLEIND,BSE,769,YYYY-40-DD 17:40:SS,56,FGQV32644048721962
1853,Maruti Suzuki India Limited, MARUTI,BSE,778,YYYY-54-DD 09:54:SS,63,ZSFU69914866936527
1854,Bajaj Auto Limited, BAJAJ-AUTO,BSE,645,YYYY-27-DD 22:27:SS,81,EUZF84318296393747
1855,Bajaj Finserv Limited, BAJAJFINSV,NSE,609,YYYY-24-DD 07:24:SS,11,XHPP48383444915581
1856,ITC Limited, ITC,NSE,865,YYYY-12-DD 22:12:SS,81,HEZB39613162337083
1857,HCL Technologies Limited, HCLTECH,NSE,896,YYYY-56-DD 14:56:SS,17,QHKZ40554046667216
1858,Dr. Reddy's Laboratories Limited, DRREDDY,BSE,717,YYYY-27-DD 21:27:SS,47,VNBR84269467355299
1859,Bharti Airtel Limited, BHARTIARTL,BSE,669,YYYY-49-DD 13:49:SS,39,ZCMX38733151046579
1860,HCL Technologies Limited, HCLTECH,BSE,278,YYYY-02-DD 03:02:SS,76,HFFJ87650584079971
1861,Shree Cement Limited, SHREECEM,NSE,986,YYYY-41-DD 03:41:SS,4,VKBH25162496264299
1862,State Bank of India, SBIN,BSE,609,YYYY-36-DD 17:36:SS,35,VXUA21972799664207
1863,Asian Paints Limited, ASIANPAINT,BSE,800,YYYY-32-DD 18:32:SS,39,FXKN67601207910143
1864,Adani Ports and Special Economic Zone Limited, ADANIPORTS,BSE,324,YYYY-08-DD 10:08:SS,65,DRKL50962298941213
1865,Infosys Limited, INFY,BSE,459,YYYY-19-DD 15:19:SS,86,RHUS81250046991621
1866,Eicher Motors Limited, EICHERMOT,NSE,711,YYYY-23-DD 05:23:SS,24,ROEI51581055652880
1867,ICICI Bank Limited, ICICIBANK,NSE,724,YYYY-57-DD 18:57:SS,3,PJZG73620058661453
1868,Infosys Limited, INFY,BSE,284,YYYY-56-DD 22:56:SS,1,NMMI30589317183562
1869,Asian Paints Limited, ASIANPAINT,BSE,318,YYYY-08-DD 10:08:SS,65,JWSX77577319584073
1870,ICICI Bank Limited, ICICIBANK,NSE,760,YYYY-20-DD 21:20:SS,75,HXSC13657930196287
1871,Maruti Suzuki India Limited, MARUTI,NSE,251,YYYY-50-DD 00:50:SS,26,JDTR53830321264643
1872,Bajaj Auto Limited, BAJAJ-AUTO,NSE,938,YYYY-57-DD 06:57:SS,89,JIVF27725135684410
1873,Eicher Motors Limited, EICHERMOT,NSE,900,YYYY-49-DD 07:49:SS,23,UZWE77792793610473
1874,Tata Consultancy Services Limited, TCS,NSE,724,YYYY-28-DD 12:28:SS,63,MNSE64528808126377
1875,Tech Mahindra Limited, TECHM,BSE,890,YYYY-52-DD 22:52:SS,63,IZTR77105890002740
1876,Tata Consumer Products Limited, TATACONSUM,NSE,228,YYYY-37-DD 23:37:SS,7,JDTR53830321264643
1877,Hero MotoCorp Limited, HEROMOTOCO,BSE,125,YYYY-53-DD 07:53:SS,17,XTOI79595363082081
1878,Bharti Airtel Limited, BHARTIARTL,BSE,918,YYYY-58-DD 09:58:SS,98,AZCT52320409261182
1879,Tata Motors Limited, TATAMOTORS,NSE,983,YYYY-11-DD 14:11:SS,28,CDTE55251979808232
1880,Bajaj Auto Limited, BAJAJ-AUTO,NSE,940,YYYY-45-DD 20:45:SS,2,UQNF91345974092365
1881,Aditya Birla Capital Limited, ABCAPITAL,NSE,776,YYYY-32-DD 03:32:SS,34,XZBR49321433838530
1882,Wipro Limited, WIPRO,NSE,984,YYYY-44-DD 13:44:SS,11,CHEQ54809613330126
1883,Coal India Limited, COALINDIA,BSE,279,YYYY-41-DD 17:41:SS,57,QNRZ48220629143856
1884,Tata Steel Limited, TATASTEEL,BSE,179,YYYY-05-DD 18:05:SS,86,EHIB41838353390363
1885,Hindustan Zinc Limited, HINDZINC,BSE,776,YYYY-36-DD 21:36:SS,70,QBAG84627579100732
1886,Adani Enterprises Limited, ADANIENT,BSE,566,YYYY-09-DD 07:09:SS,28,GXDF04236285441565
1887,Dr. Reddy's Laboratories Limited, DRREDDY,BSE,623,YYYY-37-DD 22:37:SS,69,FCHX41130901155432
1888,Wipro Limited, WIPRO,NSE,427,YYYY-48-DD 22:48:SS,42,RBNP84701331656365
1889,Asian Paints Limited, ASIANPAINT,NSE,680,YYYY-40-DD 21:40:SS,76,NTZA28619387618412
1890,Titan Company Limited, TITAN,NSE,839,YYYY-50-DD 10:50:SS,77,IDOZ92241211248344
1891,Britannia Industries Limited, BRITANNIA,BSE,179,YYYY-53-DD 15:53:SS,7,HPET97442577527350
1892,ITC Limited, ITC,NSE,365,YYYY-29-DD 06:29:SS,38,XWLR45602121744186
1893,HDFC Bank Limited, HDFCBANK,NSE,999,YYYY-15-DD 16:15:SS,25,ZEAT76113248600247
1894,HDFC Bank Limited, HDFCBANK,NSE,887,YYYY-19-DD 15:19:SS,41,SQTS44216029688138
1895,Adani Enterprises Limited, ADANIENT,BSE,146,YYYY-47-DD 14:47:SS,13,UEPS04550837470562
1896,Eicher Motors Limited, EICHERMOT,NSE,835,YYYY-14-DD 08:14:SS,72,DBQD11928650148949
1897,Cipla Limited, CIPLA,BSE,685,YYYY-58-DD 03:58:SS,2,MRZJ34169756860708
1898,Bajaj Finserv Limited, BAJAJFINSV,NSE,701,YYYY-55-DD 22:55:SS,18,KTSR45427706200315
1899,Reliance Industries Limited, RELIANCE,NSE,579,YYYY-00-DD 07:00:SS,50,CKEI79268649911512
1900,Aditya Birla Capital Limited, ABCAPITAL,NSE,627,YYYY-27-DD 08:27:SS,66,BRGJ87533386224135
1901,Infosys Limited, INFY,BSE,579,YYYY-56-DD 05:56:SS,100,XCCF11624826673171
1902,Shree Cement Limited, SHREECEM,BSE,918,YYYY-34-DD 06:34:SS,75,PIIN61251647755107
1903,Wipro Limited, WIPRO,NSE,651,YYYY-38-DD 18:38:SS,47,REHU10630397553679
1904,Adani Enterprises Limited, ADANIENT,BSE,580,YYYY-03-DD 04:03:SS,24,LJJG54442821193683
1905,Larsen & Toubro Infotech Limited, LTI,NSE,876,YYYY-40-DD 13:40:SS,16,XHPP48383444915581
1906,UltraTech Cement Limited, ULTRACEMCO,BSE,533,YYYY-39-DD 21:39:SS,38,EMWJ49270625197952
1907,HCL Technologies Limited, HCLTECH,NSE,422,YYYY-21-DD 07:21:SS,98,OUST69758297825142
1908,Tata Consultancy Services Limited, TCS,BSE,969,YYYY-19-DD 20:19:SS,39,REHQ02715749303521
1909,Tata Steel Limited, TATASTEEL,NSE,578,YYYY-57-DD 23:57:SS,3,GSXP75911352237855
1910,Nestle India Limited, NESTLEIND,BSE,544,YYYY-45-DD 22:45:SS,54,CXQQ56803679268721
1911,Grasim Industries Limited, GRASIM,BSE,917,YYYY-34-DD 08:34:SS,48,TAOH76520490833146
1912,HDFC Bank Limited, HDFCBANK,NSE,852,YYYY-23-DD 02:23:SS,96,UUWA39703011675686
1913,ICICI Bank Limited, ICICIBANK,NSE,875,YYYY-12-DD 12:12:SS,60,PAFG14333099205405
1914,HDFC Bank Limited, HDFCBANK,BSE,340,YYYY-38-DD 13:38:SS,39,QTYG16930589586768
1915,Eicher Motors Limited, EICHERMOT,NSE,507,YYYY-38-DD 00:38:SS,60,XHRH52483252308622
1916,Axis Bank Limited, AXISBANK,BSE,841,YYYY-58-DD 09:58:SS,27,YWAT44237612156202
1917,Adani Enterprises Limited, ADANIENT,NSE,897,YYYY-44-DD 12:44:SS,77,XTOI79595363082081
1918,Tata Motors Limited, TATAMOTORS,BSE,223,YYYY-13-DD 21:13:SS,59,OTEL11697395751592
1919,Divi's Laboratories Limited, DIVISLAB,NSE,966,YYYY-05-DD 19:05:SS,51,PPZC87941350951788
1920,Grasim Industries Limited, GRASIM,NSE,656,YYYY-57-DD 04:57:SS,79,JFWV01903811224220
1921,HDFC Bank Limited, HDFCBANK,BSE,198,YYYY-35-DD 02:35:SS,16,OXCR96695938856680
1922,Tech Mahindra Limited, TECHM,NSE,318,YYYY-20-DD 20:20:SS,79,PVBO99698507086163
1923,IndusInd Bank Limited, INDUSINDBK,NSE,577,YYYY-57-DD 13:57:SS,31,WZLC78089561494769
1924,Tata Steel Limited, TATASTEEL,BSE,510,YYYY-30-DD 18:30:SS,14,TPJX99074191364347
1925,Adani Ports and Special Economic Zone Limited, ADANIPORTS,BSE,924,YYYY-39-DD 09:39:SS,9,JQMC79114392338826
1926,Tata Steel Limited, TATASTEEL,BSE,736,YYYY-10-DD 07:10:SS,86,CUGT25458784781529
1927,Britannia Industries Limited, BRITANNIA,BSE,678,YYYY-23-DD 08:23:SS,68,CQQT51782996742205
1928,Aditya Birla Capital Limited, ABCAPITAL,NSE,341,YYYY-20-DD 09:20:SS,62,RYLU47213330206596
1929,Britannia Industries Limited, BRITANNIA,BSE,791,YYYY-16-DD 08:16:SS,19,MKPY16332117766519
1930,Housing Development Finance Corporation Limited, HDFC,BSE,921,YYYY-34-DD 10:34:SS,81,LWPR22749146026855
1931,Larsen & Toubro Limited, LT,NSE,798,YYYY-27-DD 04:27:SS,60,YZJI70773357384433
1932,Bajaj Finserv Limited, BAJAJFINSV,NSE,247,YYYY-48-DD 12:48:SS,74,RLYO75260596892660
1933,Adani Ports and Special Economic Zone Limited, ADANIPORTS,BSE,591,YYYY-59-DD 21:59:SS,57,BEHZ87274674896526
1934,HCL Technologies Limited, HCLTECH,BSE,829,YYYY-50-DD 04:50:SS,98,TVXN06912197021458
1935,Adani Ports and Special Economic Zone Limited, ADANIPORTS,BSE,309,YYYY-50-DD 08:50:SS,30,IDDX50278538812601
1936,Aditya Birla Capital Limited, ABCAPITAL,BSE,170,YYYY-34-DD 13:34:SS,62,HLWG69571072859894
1937,Adani Enterprises Limited, ADANIENT,NSE,185,YYYY-18-DD 04:18:SS,81,JVHS51516742314518
1938,Eicher Motors Limited, EICHERMOT,BSE,505,YYYY-50-DD 08:50:SS,28,XNFO93898530382443
